{disease_id}	{index}
OMIM:131960	593
OMIM:132000	594
OMIM:132090	595
OMIM:132100	596
OMIM:132300	597
OMIM:132400	598
OMIM:132450	599
OMIM:132500	600
OMIM:132600	601
OMIM:132700	602
OMIM:132800	603
OMIM:132850	604
OMIM:132900	605
OMIM:132990	606
OMIM:133000	607
OMIM:133020	608
OMIM:133100	609
OMIM:133180	610
OMIM:133190	611
OMIM:133200	612
OMIM:133239	613
OMIM:133240	614
OMIM:133260	615
OMIM:133270	616
OMIM:133300	617
OMIM:133500	618
OMIM:133540	619
OMIM:133600	620
OMIM:133690	621
OMIM:133700	622
OMIM:133701	623
OMIM:133705	624
OMIM:133750	625
OMIM:133780	626
OMIM:133800	627
OMIM:133900	628
OMIM:134000	629
OMIM:134200	630
OMIM:134300	631
OMIM:134400	632
OMIM:134430	633
OMIM:134500	634
OMIM:134510	635
OMIM:134520	636
OMIM:134540	637
OMIM:134600	638
OMIM:134610	639
OMIM:134720	640
OMIM:134750	641
OMIM:134780	642
OMIM:134900	643
OMIM:135100	644
OMIM:135150	645
OMIM:135290	646
OMIM:135300	647
OMIM:135400	648
OMIM:135500	649
OMIM:135550	650
OMIM:135580	651
OMIM:135610	652
OMIM:135700	653
OMIM:135750	654
OMIM:135800	655
OMIM:135900	656
OMIM:135950	657
OMIM:136000	658
OMIM:136100	659
OMIM:136120	660
OMIM:136140	661
OMIM:136150	662
OMIM:136200	663
OMIM:136300	664
OMIM:136400	665
OMIM:136480	666
OMIM:136500	667
OMIM:136520	668
OMIM:136540	669
OMIM:136550	670
OMIM:136570	671
OMIM:136580	672
OMIM:136590	673
OMIM:136600	674
OMIM:136620	675
OMIM:136630	676
OMIM:136640	677
OMIM:136660	678
OMIM:136680	679
OMIM:136760	680
OMIM:136800	681
OMIM:136830	682
OMIM:136880	683
OMIM:136900	684
OMIM:137000	685
OMIM:137040	686
OMIM:137050	687
OMIM:137100	688
OMIM:137130	689
OMIM:137200	690
OMIM:137210	691
OMIM:137215	692
OMIM:137220	693
OMIM:137245	694
OMIM:137270	695
OMIM:137280	696
OMIM:137360	697
OMIM:137370	698
OMIM:137400	699
OMIM:137440	700
OMIM:137500	701
OMIM:137550	702
OMIM:137575	703
OMIM:137580	704
OMIM:137600	705
OMIM:137700	706
OMIM:137750	707
OMIM:137760	708
OMIM:137763	709
OMIM:137800	710
OMIM:137900	711
OMIM:137920	712
OMIM:137940	713
OMIM:137950	714
OMIM:138000	715
OMIM:138060	716
OMIM:138070	717
OMIM:138110	718
OMIM:138277	719
OMIM:138340	720
OMIM:138500	721
OMIM:138710	722
OMIM:138770	723
OMIM:138790	724
OMIM:138800	725
OMIM:138900	726
OMIM:138920	727
OMIM:138930	728
OMIM:138990	729
OMIM:139000	730
OMIM:139090	731
OMIM:139100	732
OMIM:139210	733
OMIM:139280	734
OMIM:139290	735
OMIM:139300	736
OMIM:139393	737
OMIM:139400	738
OMIM:139450	739
OMIM:139500	740
OMIM:139600	741
OMIM:139630	742
OMIM:139650	743
OMIM:139750	744
OMIM:139800	745
OMIM:139900	746
OMIM:140000	747
OMIM:140300	748
OMIM:140350	749
OMIM:140400	750
OMIM:140450	751
OMIM:140500	752
OMIM:140600	753
OMIM:140700	754
OMIM:140850	755
OMIM:140900	756
OMIM:141000	757
OMIM:141200	758
OMIM:141300	759
OMIM:141350	760
OMIM:141400	761
OMIM:141405	762
OMIM:141500	763
OMIM:141700	764
OMIM:141749	765
OMIM:141750	766
OMIM:142309	767
OMIM:142330	768
OMIM:142335	769
OMIM:142340	770
OMIM:142350	771
OMIM:142395	772
OMIM:142400	773
OMIM:142470	774
OMIM:142500	775
OMIM:142623	776
OMIM:142625	777
OMIM:142630	778
OMIM:142660	779
OMIM:142669	780
OMIM:142680	781
OMIM:142690	782
OMIM:142700	783
OMIM:142730	784
OMIM:142770	785
OMIM:142900	786
OMIM:142945	787
OMIM:142946	788
OMIM:143000	789
OMIM:143020	790
OMIM:143050	791
OMIM:143095	792
OMIM:143100	793
OMIM:143200	794
OMIM:143400	795
OMIM:143460	796
OMIM:143465	797
OMIM:143470	798
OMIM:143500	799
OMIM:143850	800
OMIM:143860	801
OMIM:143870	802
OMIM:143880	803
OMIM:143890	804
OMIM:144010	805
OMIM:144020	806
OMIM:144050	807
OMIM:144100	808
OMIM:144110	809
OMIM:144120	810
OMIM:144150	811
OMIM:144190	812
OMIM:144200	813
OMIM:144250	814
OMIM:144300	815
